".pred_class","truth","X1","team1","team2","Result","year","outcome","Year.x","Random.x","Season.x","SeasonStart.x","Year.y","Random.y","Season.y","SeasonStart.y","Year","List","T1MinutesPlayed","T2MinutesPlayed","T1FieldGoals","T2FieldGoals","T1FieldGoalAttpt","T2FieldGoalAttpt","T1FieldGoalPct","T2FieldGoalPct","T1FieldGoals2P","T2FieldGoals2P","T1FieldGoalAttpt2P","T2FieldGoalAttpt2P","T1FieldGoals2PPct","T2FieldGoals2PPct","T1FieldGoals3P","T2FieldGoals3P","T1FieldGoalAttpt3P","T2FieldGoalAttpt3P","T1FieldGoals3PPct","T2FieldGoals3PPct","T1FreeThrows","T2FreeThrows","T1FreeThrowAttpt","T2FreeThrowAttpt","T1FreeThrowPct","T2FreeThrowPct","T1GamesPlayed","T2GamesPlayed","T1GamesWon","T2GamesWon","T1GamesLost","T2GamesLost","T1WinLossRatio","T2WinLossRatio","T1PointsScored","T2PointsScored","T1FGA","T2FGA","T1R3G","T2R3G","T1Z","T2Z","scorebalance","accurate"
"1","0",260,"Memphis","Saint Louis","L 54-61",2012,"0",12,491,"2011-12",2011,12,1369,"2011-12",2011,12,260,7075,6825,933,814,1899,1813,0.491,0.449,748,576,1388,1150,0.539,0.501,185,238,511,663,0.362,0.359,563,470,785,653,0.717,0.72,35,34,26,26,9,8,0.743,0.765,2614,2336,0.296390205371248,0.259327082184225,0.133272334293948,0.206971304347826,0.978261840984864,0.874223282532763,0.104038558452101,1
"0","0",261,"Murray State","Marquette","L 53-62",2012,"0",12,1084,"2011-12",2011,12,423,"2011-12",2011,12,261,6650,7000,811,919,1732,2033,0.468,0.452,572,718,1128,1437,0.507,0.5,239,201,604,596,0.396,0.337,551,599,761,831,0.724,0.721,33,35,31,27,2,8,0.939,0.771,2412,2638,0.318108545034642,0.294712739793409,0.212042553191489,0.139771746694502,0.902665478368589,0.987243587038283,-0.0845781086696936,0
"0","0",264,"Montana","Wisconsin","L 49-73",2012,"0",12,1790,"2011-12",2011,12,1489,"2011-12",2011,12,264,6425,7250,781,797,1689,1875,0.462,0.425,586,512,1165,1100,0.503,0.465,195,285,524,775,0.372,0.368,482,425,672,575,0.717,0.739,32,36,25,26,7,10,0.781,0.722,2239,2304,0.285271758436945,0.226626666666667,0.16732017167382,0.259272727272727,0.837922058900195,0.862247621128205,-0.0243255622280093,0
"0","1",276,"Minnesota","UCLA","W 83-63",2013,"1",13,1365,"2012-13",2012,13,506,"2012-13",2012,13,276,6825,7100,815,961,1838,2131,0.443,0.451,631,790,1292,1617,0.488,0.489,184,171,546,514,0.337,0.333,523,511,764,706,0.685,0.724,34,35,21,25,13,10,0.618,0.714,2337,2604,0.284733405875952,0.239861098076021,0.142416408668731,0.105851576994434,0.874597521951655,0.97451944679594,-0.0999219248442842,-1
"1","1",277,"Louisville","Colorado State","W 82-56",2013,"1",13,53,"2012-13",2012,13,645,"2012-13",2012,13,277,8125,7024,1048,881,2300,1961,0.456,0.449,818,701,1609,1429,0.508,0.491,230,180,691,532,0.333,0.338,652,611,920,855,0.709,0.715,40,35,35,26,5,9,0.875,0.743,2978,2553,0.2836,0.311741458439572,0.143009944064636,0.125833449965011,1.11448498946172,0.955433236432425,0.159051753029291,0
"1","1",287,"Miami (FL)","Pacific","W 78-49",2013,"1",13,747,"2012-13",2012,13,1334,"2012-13",2012,13,287,7225,7026,895,824,1968,1839,0.455,0.448,641,599,1267,1249,0.506,0.48,254,225,701,590,0.362,0.381,465,471,680,684,0.684,0.689,36,35,29,22,7,13,0.806,0.629,2509,2344,0.236341463414634,0.256267536704731,0.200285714285714,0.179975980784628,0.938966702001157,0.877217197883903,0.0617495041172542,0
"1","1",290,"Florida","Minnesota","W 78-64",2013,"1",13,415,"2012-13",2012,13,1365,"2012-13",2012,13,290,7400,6825,960,815,2010,1838,0.478,0.443,660,631,1216,1292,0.543,0.488,300,184,794,546,0.378,0.337,422,523,623,764,0.677,0.685,37,34,29,21,8,13,0.784,0.618,2642,2337,0.20983631840796,0.284733405875952,0.246819078947368,0.142416408668731,0.988740544713853,0.874597521951655,0.114143022762197,0
"1","0",302,"Ole Miss","La Salle","L 74-76",2013,"0",13,194,"2012-13",2012,13,934,"2012-13",2012,13,302,7275,6848,977,871,2230,1931,0.438,0.451,739,609,1495,1236,0.494,0.493,238,262,735,695,0.324,0.377,587,446,866,605,0.678,0.737,36,34,27,24,9,10,0.75,0.706,2779,2450,0.263295067264574,0.230908855515277,0.159290969899666,0.211986245954693,1.04001134510212,0.916886576286502,0.123124768815616,1
"1","0",310,"Butler","Marquette","L 72-74",2013,"0",13,791,"2012-13",2012,13,1191,"2012-13",2012,13,310,7226,7100,869,842,1931,1844,0.45,0.457,630,695,1243,1347,0.507,0.516,239,147,688,497,0.347,0.296,518,551,744,755,0.696,0.73,36,35,27,26,9,9,0.75,0.743,2495,2382,0.268163645779389,0.298888286334056,0.192064360418343,0.109214550853749,0.933727350136663,0.891438295801816,0.0422890543348469,1
"1","1",311,"Wichita State","La Salle","W 72-58",2013,"1",13,283,"2012-13",2012,13,934,"2012-13",2012,13,311,7800,6848,954,871,2166,1931,0.44,0.451,695,609,1401,1236,0.496,0.493,259,262,765,695,0.339,0.377,553,446,791,605,0.699,0.737,39,34,30,24,9,10,0.769,0.706,2720,2450,0.255267313019391,0.230908855515277,0.185107066381156,0.211986245954693,1.01793121938746,0.916886576286502,0.101044643100961,0
"0","1",317,"Marquette","Miami (FL)","W 71-61",2013,"1",13,1191,"2012-13",2012,13,747,"2012-13",2012,13,317,7100,7225,842,895,1844,1968,0.457,0.455,695,641,1347,1267,0.516,0.506,147,254,497,701,0.296,0.362,551,465,755,680,0.73,0.684,35,36,26,29,9,7,0.743,0.806,2382,2509,0.298888286334056,0.236341463414634,0.109214550853749,0.200285714285714,0.891438295801816,0.938966702001157,-0.0475284061993412,-1
"0","0",319,"Iona","Ohio State","L 70-95",2013,"0",13,257,"2012-13",2012,13,516,"2012-13",2012,13,319,6975,7426,956,928,2106,2057,0.454,0.451,673,701,1335,1419,0.504,0.494,283,227,771,638,0.367,0.356,538,516,689,729,0.781,0.708,34,37,20,29,14,8,0.588,0.784,2733,2599,0.255512345679012,0.250914924647545,0.211952808988764,0.160062015503876,1.02279633183307,0.972648249701477,0.0501480821315884,0
"1","1",323,"Kansas","UNC","W 70-58",2013,"1",13,186,"2012-13",2012,13,220,"2012-13",2012,13,323,7525,7225,985,1023,2049,2321,0.481,0.441,769,751,1455,1598,0.529,0.47,216,272,594,723,0.364,0.376,596,442,809,655,0.737,0.675,37,36,31,25,6,11,0.838,0.694,2782,2760,0.290987310883358,0.190489013356312,0.14860206185567,0.170117647058824,1.0411340633588,1.03290079614316,0.008233267215634,0
"0","0",332,"Wichita State","Louisville","L 68-72",2013,"0",13,283,"2012-13",2012,13,53,"2012-13",2012,13,332,7800,8125,954,1048,2166,2300,0.44,0.456,695,818,1401,1609,0.496,0.508,259,230,765,691,0.339,0.333,553,652,791,920,0.699,0.709,39,40,30,35,9,5,0.769,0.875,2720,2978,0.255267313019391,0.2836,0.185107066381156,0.143009944064636,1.01793121938746,1.11448498946172,-0.0965537700742523,0
"1","1",335,"Syracuse","California","W 66-60",2013,"1",13,150,"2012-13",2012,13,1873,"2012-13",2012,13,335,8050,6624,1007,833,2293,1875,0.439,0.444,774,699,1597,1432,0.485,0.488,233,134,696,443,0.335,0.302,569,418,843,585,0.675,0.715,40,33,30,21,10,12,0.75,0.636,2816,2218,0.24815743567379,0.22308,0.145998747651847,0.0934259776536313,1.05385820360114,0.830063031103454,0.223795172497685,0
"0","0",344,"Minnesota","Florida","L 64-78",2013,"0",13,1365,"2012-13",2012,13,415,"2012-13",2012,13,344,6825,7400,815,960,1838,2010,0.443,0.478,631,660,1292,1216,0.488,0.543,184,300,546,794,0.337,0.378,523,422,764,623,0.685,0.677,34,37,21,29,13,8,0.618,0.784,2337,2642,0.284733405875952,0.20983631840796,0.142416408668731,0.246819078947368,0.874597521951655,0.988740544713853,-0.114143022762197,0
"0","0",349,"Duke","Louisville","L 63-85",2013,"0",13,196,"2012-13",2012,13,53,"2012-13",2012,13,349,7200,8125,960,1048,2033,2300,0.472,0.456,690,818,1357,1609,0.508,0.508,270,230,676,691,0.399,0.333,588,652,796,920,0.739,0.709,36,40,30,35,6,5,0.833,0.875,2778,2978,0.289347761928185,0.2836,0.198764922623434,0.143009944064636,1.03963710568323,1.11448498946172,-0.0748478837784901,0
"0","0",351,"James Madison","Indiana","L 62-83",2013,"0",13,1322,"2012-13",2012,13,132,"2012-13",2012,13,351,7250,7253,818,951,1941,1971,0.421,0.482,607,694,1313,1334,0.462,0.52,211,257,628,637,0.336,0.403,499,672,714,904,0.699,0.743,36,36,21,29,15,7,0.583,0.806,2346,2831,0.25712828438949,0.340777270421106,0.160706778370145,0.192437031484258,0.877965676721687,1.05947179488453,-0.181506118162838,0
"0","0",358,"Michigan State","Duke","L 61-71",2013,"0",13,949,"2012-13",2012,13,196,"2012-13",2012,13,358,7199,7200,882,960,1921,2033,0.459,0.472,705,690,1398,1357,0.504,0.508,177,270,523,676,0.338,0.399,507,588,710,796,0.714,0.739,36,36,27,30,9,6,0.75,0.833,2448,2778,0.263893805309734,0.289347761928185,0.126447782546495,0.198764922623434,0.916138097448717,1.03963710568323,-0.123499008234508,0
"0","0",360,"California","Syracuse","L 60-66",2013,"0",13,1873,"2012-13",2012,13,150,"2012-13",2012,13,360,6624,8050,833,1007,1875,2293,0.444,0.439,699,774,1432,1597,0.488,0.485,134,233,443,696,0.302,0.335,418,569,585,843,0.715,0.675,33,40,21,30,12,10,0.636,0.75,2218,2816,0.22308,0.24815743567379,0.0934259776536313,0.145998747651847,0.830063031103454,1.05385820360114,-0.223795172497685,0
"1","1",361,"Marquette","Davidson","W 59-58",2013,"1",13,1191,"2012-13",2012,13,802,"2012-13",2012,13,361,7100,6825,842,837,1844,1813,0.457,0.462,695,581,1347,1119,0.516,0.519,147,256,497,694,0.296,0.369,551,560,755,704,0.73,0.795,35,34,26,26,9,8,0.743,0.765,2382,2490,0.298888286334056,0.308703805846663,0.109214550853749,0.22885254691689,0.891438295801816,0.9318561530422,-0.0404178572403846,0
"1","0",364,"Davidson","Marquette","L 58-59",2013,"0",13,802,"2012-13",2012,13,1191,"2012-13",2012,13,364,6825,7100,837,842,1813,1844,0.462,0.457,581,695,1119,1347,0.519,0.516,256,147,694,497,0.369,0.296,560,551,704,755,0.795,0.73,34,35,26,26,8,9,0.765,0.743,2490,2382,0.308703805846663,0.298888286334056,0.22885254691689,0.109214550853749,0.9318561530422,0.891438295801816,0.0404178572403846,1
"0","0",365,"Southern","Gonzaga","L 58-64",2013,"0",13,1848,"2012-13",2012,13,324,"2012-13",2012,13,365,6599,7000,761,961,1757,1934,0.433,0.497,535,735,1138,1325,0.47,0.555,226,226,619,609,0.365,0.371,475,548,689,777,0.689,0.705,33,35,23,32,10,3,0.697,0.914,2223,2696,0.270188389299943,0.283239400206825,0.19853690685413,0.17052,0.831934228197916,1.00894947333404,-0.177015245136129,0
"0","0",377,"Syracuse","Michigan","L 56-61",2013,"0",13,150,"2012-13",2012,13,66,"2012-13",2012,13,377,8050,7876,1007,1093,2293,2260,0.439,0.484,774,797,1597,1491,0.485,0.535,233,296,696,769,0.335,0.385,569,450,843,642,0.675,0.701,40,39,30,31,10,8,0.75,0.795,2816,2932,0.24815743567379,0.199133628318584,0.145998747651847,0.198568075117371,1.05385820360114,1.09726997619266,-0.0434117725915242,0
"0","0",380,"Pitt","Wichita State","L 55-73",2013,"0",13,1587,"2012-13",2012,13,283,"2012-13",2012,13,380,6675,7800,837,954,1775,2166,0.472,0.44,674,695,1308,1401,0.515,0.496,163,259,467,765,0.349,0.339,445,553,666,791,0.668,0.699,33,39,24,30,9,9,0.727,0.769,2282,2720,0.250641126760563,0.255267313019391,0.124604740061162,0.185107066381156,0.854014353912571,1.01793121938746,-0.163916865474893,0
"0","0",387,"Saint Mary's","Memphis","L 52-54",2013,"0",13,497,"2012-13",2012,13,352,"2012-13",2012,13,387,7026,7251,910,976,1939,2071,0.469,0.471,637,756,1211,1479,0.526,0.511,273,220,728,592,0.375,0.372,517,509,713,771,0.725,0.66,35,36,28,31,7,5,0.8,0.861,2610,2681,0.266593604951006,0.245707387735394,0.225433526011561,0.14890060851927,0.976764883309294,1.00333588205066,-0.0265709987413639,0
"0","0",391,"Indiana","Syracuse","L 50-61",2013,"0",13,132,"2012-13",2012,13,150,"2012-13",2012,13,391,7253,8050,951,1007,1971,2293,0.482,0.439,694,774,1334,1597,0.52,0.485,257,233,637,696,0.403,0.335,672,569,904,843,0.743,0.675,36,40,29,30,7,10,0.806,0.75,2831,2816,0.340777270421106,0.24815743567379,0.192437031484258,0.145998747651847,1.05947179488453,1.05385820360114,0.00561359128338679,0
"0","0",402,"Montana","Syracuse","L 34-81",2013,"0",13,1796,"2012-13",2012,13,150,"2012-13",2012,13,402,6525,8050,760,1007,1635,2293,0.465,0.439,541,774,1046,1597,0.517,0.485,219,233,589,696,0.372,0.335,499,569,651,843,0.767,0.675,32,40,25,30,7,10,0.781,0.75,2238,2816,0.305392660550459,0.24815743567379,0.209472275334608,0.145998747651847,0.837547819481303,1.05385820360114,-0.216310384119836,0
"0","1",407,"Oregon","BYU","W 87-68",2014,"1",14,181,"2013-14",2013,14,67,"2013-14",2013,14,407,6925,7123,928,1012,1977,2186,0.469,0.463,669,835,1311,1687,0.51,0.495,259,177,666,499,0.389,0.355,668,730,865,1055,0.772,0.692,34,35,24,23,10,12,0.706,0.657,2783,2931,0.337774405665149,0.333970722781336,0.197615560640732,0.105005927682276,1.04150830277769,1.09689573677377,-0.0553874339960825,-1
"0","0",409,"Arizona State","Texas","L 85-87",2014,"0",14,813,"2013-14",2013,14,518,"2013-14",2013,14,409,6725,7025,836,905,1852,2095,0.451,0.432,568,727,1164,1550,0.488,0.469,268,178,688,545,0.39,0.327,546,610,787,909,0.694,0.671,33,35,21,24,12,11,0.636,0.686,2486,2598,0.29491252699784,0.291140334128878,0.230515463917526,0.114977419354839,0.93035919536663,0.972274010282585,-0.0419148149159544,0
"0","0",416,"UNC","Iowa State","L 83-85",2014,"0",14,507,"2013-14",2013,14,50,"2013-14",2013,14,416,6851,7324,953,1062,2057,2239,0.463,0.474,807,761,1623,1399,0.497,0.544,146,301,434,840,0.336,0.358,552,564,882,814,0.626,0.693,34,36,24,28,10,8,0.706,0.778,2604,2989,0.268416140009723,0.251943724877177,0.0898484288354898,0.214953538241601,0.97451944679594,1.11860162306953,-0.144082176273593,0
"1","0",422,"NC State","Saint Louis","L 80-83 (OT)",2014,"0",14,614,"2013-14",2013,14,1206,"2013-14",2013,14,422,7301,6875,950,829,2060,1869,0.461,0.444,790,639,1535,1268,0.515,0.504,160,190,525,601,0.305,0.316,501,526,762,755,0.657,0.697,36,34,22,27,14,7,0.611,0.794,2561,2374,0.243026213592233,0.281559657570894,0.104315960912052,0.149776025236593,0.958427151783564,0.888444380450676,0.0699827713328881,1
"1","1",426,"UNC","Providence","W 79-77",2014,"1",14,507,"2013-14",2013,14,602,"2013-14",2013,14,426,6851,7250,953,849,2057,1984,0.463,0.428,807,631,1623,1356,0.497,0.465,146,218,434,628,0.336,0.347,552,650,882,831,0.626,0.782,34,35,24,23,10,12,0.706,0.657,2604,2566,0.268416140009723,0.327541330645161,0.0898484288354898,0.160705014749263,0.97451944679594,0.960298348878026,0.0142210979179132,0
"1","1",427,"Michigan","Texas","W 79-65",2014,"1",14,253,"2013-14",2013,14,518,"2013-14",2013,14,427,7450,7025,945,905,1982,2095,0.477,0.432,626,727,1188,1550,0.527,0.469,319,178,794,545,0.402,0.327,527,610,691,909,0.763,0.671,37,35,28,24,9,11,0.757,0.686,2736,2598,0.266010595358224,0.291140334128878,0.268676767676768,0.114977419354839,1.02391905008974,0.972274010282585,0.0516450398071582,0
"0","1",428,"Florida","UCLA","W 79-68",2014,"1",14,271,"2013-14",2013,14,40,"2013-14",2013,14,428,7799,7450,945,1073,2056,2196,0.46,0.489,690,844,1345,1593,0.513,0.53,255,229,711,603,0.359,0.38,582,628,871,839,0.668,0.749,39,37,36,28,3,9,0.923,0.757,2727,3003,0.282990272373541,0.286161657559199,0.189776208178439,0.143841807909605,1.02055089531971,1.12384097493403,-0.103290079614316,-1
"0","0",440,"Oregon","Wisconsin","L 77-85",2014,"0",14,181,"2013-14",2013,14,170,"2013-14",2013,14,440,6925,7625,928,927,1977,2019,0.469,0.459,669,630,1311,1229,0.51,0.513,259,297,666,790,0.389,0.376,668,642,865,861,0.772,0.746,34,38,24,30,10,8,0.706,0.789,2783,2793,0.337774405665149,0.318130757800892,0.197615560640732,0.241692432872254,1.04150830277769,1.04525069696661,-0.00374239418892452,0
"1","1",441,"UCLA","Stephen F. Austin","W 77-60",2014,"1",14,40,"2013-14",2013,14,383,"2013-14",2013,14,441,7450,7050,1073,922,2196,1992,0.489,0.463,844,674,1593,1274,0.53,0.529,229,248,603,718,0.38,0.345,628,569,839,800,0.749,0.711,37,35,28,32,9,3,0.757,0.914,3003,2661,0.286161657559199,0.285542168674699,0.143841807909605,0.194434850863422,1.12384097493403,0.995851093672809,0.127989881261218,0
"1","1",443,"UCLA","Tulsa","W 76-59",2014,"1",14,40,"2013-14",2013,14,874,"2013-14",2013,14,443,7450,6850,1073,835,2196,1899,0.489,0.44,844,638,1593,1296,0.53,0.492,229,197,603,603,0.38,0.327,628,604,839,894,0.749,0.676,37,34,28,21,9,13,0.757,0.618,3003,2471,0.286161657559199,0.318243285939968,0.143841807909605,0.152145833333333,1.12384097493403,0.924745604083244,0.199095370850783,0
"0","0",444,"Wichita State","Kentucky","L 76-78",2014,"0",14,305,"2013-14",2013,14,47,"2013-14",2013,14,444,7223,8074,896,1004,1942,2213,0.461,0.454,646,801,1229,1602,0.526,0.5,250,203,713,611,0.351,0.332,664,781,916,1146,0.725,0.682,36,40,35,29,1,11,0.972,0.725,2706,2992,0.341967044284243,0.353173068233168,0.203631407648495,0.126624219725343,1.01269186752297,1.11972434132621,-0.107032473803241,0
"0","1",453,"Kentucky","Louisville","W 74-69",2014,"1",14,47,"2013-14",2013,14,42,"2013-14",2013,14,453,8074,7400,1004,1051,2213,2232,0.454,0.471,801,763,1602,1449,0.5,0.527,203,288,611,783,0.332,0.368,781,608,1146,920,0.682,0.661,40,37,29,31,11,6,0.725,0.838,2992,2998,0.353173068233168,0.272455197132617,0.126624219725343,0.198857142857143,1.11972434132621,1.12196977783956,-0.00224543651335463,-1
"1","1",463,"Louisville","Manhattan","W 71-64",2014,"1",14,42,"2013-14",2013,14,671,"2013-14",2013,14,463,7400,6749,1051,828,2232,1837,0.471,0.451,763,620,1449,1273,0.527,0.487,288,208,783,564,0.368,0.369,608,676,920,1019,0.661,0.663,37,33,31,25,6,8,0.838,0.758,2998,2540,0.272455197132617,0.367771910724007,0.198857142857143,0.163484681853888,1.12196977783956,0.950568123986823,0.171401653852742,0
"1","0",470,"New Mexico St.","San Diego State","L 69-73 (OT)",2014,"0",14,207,"2013-14",2013,14,695,"2013-14",2013,14,470,7275,7251,936,873,1918,2009,0.488,0.435,742,687,1395,1490,0.532,0.461,194,186,523,519,0.371,0.358,705,598,1027,902,0.686,0.663,36,36,26,31,10,5,0.722,0.861,2771,2530,0.367321167883212,0.297673469387755,0.139091756272401,0.12469932885906,1.03701742975098,0.946825729797898,0.0901916999530804,1
"0","1",472,"Wisconsin","Baylor","W 69-52",2014,"1",14,170,"2013-14",2013,14,115,"2013-14",2013,14,472,7625,7698,927,959,2019,2108,0.459,0.455,630,679,1229,1383,0.513,0.491,297,280,790,725,0.376,0.386,642,645,861,949,0.746,0.68,38,38,30,26,8,12,0.789,0.684,2793,2843,0.318130757800892,0.306129032258065,0.241692432872254,0.20234996384671,1.04525069696661,1.06396266791124,-0.0187119709446224,-1
"1","1",475,"Arizona","Weber State","W 68-59",2014,"1",14,211,"2013-14",2013,14,1730,"2013-14",2013,14,475,7701,6300,996,732,2123,1541,0.469,0.475,792,510,1562,975,0.507,0.523,204,222,561,566,0.364,0.392,573,568,870,767,0.659,0.741,38,31,33,19,5,12,0.868,0.613,2769,2254,0.270056523787094,0.368817001946788,0.130732394366197,0.227561025641026,1.03626895091319,0.843535650183582,0.192733300729612,0
"1","0",479,"Louisiana","Creighton","L 66-76",2014,"0",14,125,"2013-14",2013,14,227,"2013-14",2013,14,479,7149,7000,988,957,2127,1927,0.465,0.497,742,601,1457,1068,0.509,0.563,246,356,670,859,0.367,0.414,613,486,913,654,0.671,0.743,35,35,23,27,12,8,0.657,0.771,2835,2756,0.288022096850024,0.252165023352361,0.168764584763212,0.332983146067416,1.0609687525601,1.03140383846759,0.0295649140925036,1
"0","0",480,"George Washington","Memphis","L 66-71",2014,"0",14,1072,"2013-14",2013,14,492,"2013-14",2013,14,480,6622,6850,839,958,1812,2009,0.463,0.477,652,776,1298,1457,0.502,0.533,187,182,514,552,0.364,0.33,550,516,845,801,0.651,0.644,33,34,24,24,9,10,0.727,0.706,2415,2614,0.303584437086093,0.256766550522648,0.144141756548536,0.125024021962938,0.903788196625267,0.978261840984864,-0.0744736443595976,0
"0","0",486,"Manhattan","Louisville","L 64-71",2014,"0",14,671,"2013-14",2013,14,42,"2013-14",2013,14,486,6749,7400,828,1051,1837,2232,0.451,0.471,620,763,1273,1449,0.487,0.527,208,288,564,783,0.369,0.368,676,608,1019,920,0.663,0.661,33,37,25,31,8,6,0.758,0.838,2540,2998,0.367771910724007,0.272455197132617,0.163484681853888,0.198857142857143,0.950568123986823,1.12196977783956,-0.171401653852742,0
"1","1",487,"Wichita State","Cal Poly","W 64-37",2014,"1",14,305,"2013-14",2013,14,2196,"2013-14",2013,14,487,7223,6800,896,754,1942,1850,0.461,0.408,646,536,1229,1196,0.526,0.448,250,218,713,654,0.351,0.333,664,415,916,603,0.725,0.688,36,34,35,14,1,20,0.972,0.412,2706,2141,0.341967044284243,0.224250810810811,0.203631407648495,0.182091973244147,1.01269186752297,0.801246595848735,0.211445271674234,0
