,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,3/18/11,UNC,N,LIU,W 102-87,200,34,67,0.507,31,50,0.62,3,17,0.176,31,42,0.738,102
2,3/23/12,Kentucky,N,Indiana,W 102-90,200,31,64,0.484,26,54,0.481,5,10,0.5,35,37,0.946,102
3,3/20/11,Ohio State,N,George Mason,W 98-66,200,36,59,0.61,20,33,0.606,16,26,0.615,10,18,0.556,98
4,3/20/11,VCU,N,Purdue,W 94-76,200,37,65,0.569,29,44,0.659,8,21,0.381,12,14,0.857,94
5,3/24/11,Arizona,N,Duke,W 93-77,200,34,63,0.54,25,48,0.521,9,15,0.6,16,21,0.762,93
6,3/23/12,Indiana,N,Kentucky,L 90-102,200,36,69,0.522,31,51,0.608,5,18,0.278,13,17,0.765,90
7,3/19/11,BYU,N,Gonzaga,W 89-67,200,31,59,0.525,17,31,0.548,14,28,0.5,13,15,0.867,89
8,3/16/12,Michigan State,N,LIU,W 89-67,200,40,68,0.588,37,59,0.627,3,9,0.333,6,9,0.667,89
9,3/15/12,Marquette,N,BYU,W 88-68,200,30,66,0.455,21,46,0.457,9,20,0.45,19,26,0.731,88
10,3/18/11,Duke,N,Hampton,W 87-45,200,32,60,0.533,23,41,0.561,9,19,0.474,14,16,0.875,87
11,3/18/11,LIU,N,UNC,L 87-102,200,31,85,0.365,23,54,0.426,8,31,0.258,17,25,0.68,87
12,3/17/12,Kentucky,N,Iowa State,W 87-71,200,31,56,0.554,21,36,0.583,10,20,0.5,15,22,0.682,87
13,3/18/12,UNC,N,Creighton,W 87-73,200,33,65,0.508,25,49,0.51,8,16,0.5,13,19,0.684,87
14,3/17/11,Gonzaga,N,St. John's (NY),W 86-71,200,28,52,0.538,19,37,0.514,9,15,0.6,21,26,0.808,86
15,3/20/11,UNC,N,Washington,W 86-83,200,31,66,0.47,25,54,0.463,6,12,0.5,18,23,0.783,86
16,3/16/12,Norfolk State,N,Missouri,W 86-84,200,32,59,0.542,22,40,0.55,10,19,0.526,12,18,0.667,86
17,3/18/11,Texas,N,Oakland,W 85-81,200,30,63,0.476,26,54,0.481,4,9,0.444,21,26,0.808,85
18,3/17/11,West Virginia,N,Clemson,W 84-76,200,27,55,0.491,22,42,0.524,5,13,0.385,25,31,0.806,84
19,3/16/12,Missouri,N,Norfolk State,L 84-86,200,29,55,0.527,16,26,0.615,13,29,0.448,13,17,0.765,84
20,3/18/12,Florida,N,Norfolk State,W 84-50,200,28,53,0.528,18,25,0.72,10,28,0.357,18,25,0.72,84
21,3/20/11,Washington,N,UNC,L 83-86,200,33,72,0.458,23,53,0.434,10,19,0.526,7,7,1,83
22,3/24/11,Florida,N,BYU,W 83-74 (OT),225,31,65,0.477,20,31,0.645,11,34,0.324,10,22,0.455,83
23,3/25/12,Kentucky,N,Baylor,W 82-70,200,24,45,0.533,20,36,0.556,4,9,0.444,30,44,0.682,82
24,3/15/11,UNC Asheville,N,Little Rock,W 81-77 (OT),225,27,54,0.5,23,42,0.548,4,12,0.333,23,28,0.821,81
25,3/17/11,UConn,N,Bucknell,W 81-52,200,32,66,0.485,23,42,0.548,9,24,0.375,8,9,0.889,81
26,3/18/11,Oakland,N,Texas,L 81-85,200,33,75,0.44,26,46,0.565,7,29,0.241,8,11,0.727,81
27,3/25/11,UNC,N,Marquette,W 81-63,200,31,74,0.419,26,58,0.448,5,16,0.313,14,21,0.667,81
28,3/15/12,Kentucky,N,Western Ky.,W 81-66,200,30,54,0.556,27,44,0.614,3,10,0.3,18,25,0.72,81
29,3/22/12,Ohio State,N,Cincinnati,W 81-66,200,27,56,0.482,19,39,0.487,8,17,0.471,19,27,0.704,81
30,3/17/12,Baylor,N,Colorado,W 80-63,200,28,64,0.438,17,44,0.386,11,20,0.55,13,18,0.722,80
31,3/25/12,Kansas,N,UNC,W 80-67,200,29,63,0.46,25,49,0.51,4,14,0.286,18,24,0.75,80
32,3/17/11,Florida,N,UCSB,W 79-51,200,29,53,0.547,21,30,0.7,8,23,0.348,13,17,0.765,79
33,3/15/12,Vanderbilt,N,Harvard,W 79-70,200,25,46,0.543,17,28,0.607,8,18,0.444,21,30,0.7,79
34,3/15/12,Indiana,N,New Mexico St.,W 79-66,200,32,54,0.593,25,41,0.61,7,13,0.538,8,10,0.8,79
35,3/16/12,NC State,N,San Diego State,W 79-65,200,31,53,0.585,28,44,0.636,3,9,0.333,14,21,0.667,79
36,3/17/11,Cincinnati,N,Missouri,W 78-63,200,29,54,0.537,25,43,0.581,4,11,0.364,16,22,0.727,78
37,3/17/11,UCLA,N,Michigan State,W 78-76,200,22,48,0.458,18,37,0.486,4,11,0.364,30,47,0.638,78
38,3/13/12,BYU,N,Iona,W 78-72,200,30,62,0.484,23,42,0.548,7,20,0.35,11,20,0.55,78
39,3/15/12,Ohio State,N,Loyola (MD),W 78-59,200,26,58,0.448,21,44,0.477,5,14,0.357,21,26,0.808,78
40,3/15/11,Little Rock,N,UNC Asheville,L 77-81 (OT),225,24,56,0.429,15,27,0.556,9,29,0.31,20,26,0.769,77
41,3/18/11,Arizona,N,Memphis,W 77-75,200,23,50,0.46,18,31,0.581,5,19,0.263,26,31,0.839,77
42,3/18/11,Syracuse,N,Indiana State,W 77-60,200,23,44,0.523,16,28,0.571,7,16,0.438,24,31,0.774,77
43,3/24/11,Duke,N,Arizona,L 77-93,200,27,58,0.466,22,44,0.5,5,14,0.357,18,22,0.818,77
44,3/25/11,Kansas,N,Richmond,W 77-57,200,30,63,0.476,21,44,0.477,9,19,0.474,8,10,0.8,77
45,3/15/12,Iowa State,N,UConn,W 77-64,200,26,54,0.481,20,38,0.526,6,16,0.375,19,20,0.95,77
46,3/15/12,Gonzaga,N,West Virginia,W 77-54,200,28,50,0.56,19,33,0.576,9,17,0.529,12,16,0.75,77
47,3/16/12,UNC,N,Vermont,W 77-58,200,27,65,0.415,22,47,0.468,5,18,0.278,18,24,0.75,77
48,3/24/12,Ohio State,N,Syracuse,W 77-70,200,21,51,0.412,17,38,0.447,4,13,0.308,31,42,0.738,77
49,3/17/11,Clemson,N,West Virginia,L 76-84,200,25,58,0.431,20,37,0.541,5,21,0.238,21,26,0.808,76
50,3/17/11,Michigan State,N,UCLA,L 76-78,200,25,62,0.403,15,37,0.405,10,25,0.4,16,21,0.762,76
51,3/20/11,Purdue,N,VCU,L 76-94,200,30,67,0.448,22,42,0.524,8,25,0.32,8,11,0.727,76
52,3/27/11,Kentucky,N,UNC,W 76-69,200,27,56,0.482,15,34,0.441,12,22,0.545,10,16,0.625,76
53,3/18/11,Memphis,N,Arizona,L 75-77,200,26,53,0.491,20,38,0.526,6,15,0.4,17,24,0.708,75
54,3/18/11,Michigan,N,Tennessee,W 75-45,200,33,64,0.516,24,38,0.632,9,26,0.346,0,1,0,75
55,3/18/11,Ohio State,N,UTSA,W 75-46,200,29,52,0.558,17,28,0.607,12,24,0.5,5,8,0.625,75
56,3/15/12,New Mexico,N,CS Long Beach,W 75-68,200,25,50,0.5,18,29,0.621,7,21,0.333,18,24,0.75,75
57,3/16/12,Lehigh,N,Duke,W 75-70,200,22,52,0.423,16,34,0.471,6,18,0.333,25,37,0.676,75
58,3/17/12,Syracuse,N,Kansas State,W 75-59,200,23,45,0.511,17,36,0.472,6,9,0.667,23,29,0.793,75
59,3/23/12,Baylor,N,Xavier,W 75-70,200,29,57,0.509,24,42,0.571,5,15,0.333,12,14,0.857,75
60,3/17/11,BYU,N,Wofford,W 74-66,200,24,61,0.393,18,39,0.462,6,22,0.273,20,24,0.833,74
61,3/17/11,Pitt,N,UNC Asheville,W 74-51,200,25,59,0.424,17,40,0.425,8,19,0.421,16,25,0.64,74
62,3/18/11,VCU,N,Georgetown,W 74-56,200,18,44,0.409,6,19,0.316,12,25,0.48,26,39,0.667,74
63,3/24/11,BYU,N,Florida,L 74-83 (OT),225,25,71,0.352,15,34,0.441,10,37,0.27,14,16,0.875,74
64,3/24/11,UConn,N,San Diego State,W 74-67,200,27,57,0.474,19,41,0.463,8,16,0.5,12,16,0.75,74
65,3/26/11,Butler,N,Florida,W 74-71 (OT),225,24,60,0.4,15,27,0.556,9,33,0.273,17,27,0.63,74
66,3/16/12,Georgetown,N,Belmont,W 74-59,200,30,49,0.612,25,37,0.676,5,12,0.417,9,13,0.692,74
67,3/17/11,Kansas State,N,Utah State,W 73-68,200,22,54,0.407,17,37,0.459,5,17,0.294,24,28,0.857,73
68,3/18/11,Illinois,N,UNLV,W 73-62,200,28,47,0.596,21,34,0.618,7,13,0.538,10,14,0.714,73
69,3/19/11,Florida,N,UCLA,W 73-65,200,27,54,0.5,21,40,0.525,6,14,0.429,13,17,0.765,73
70,3/20/11,Duke,N,Michigan,W 73-71,200,25,49,0.51,20,29,0.69,5,20,0.25,18,25,0.72,73
71,3/20/11,Kansas,N,Illinois,W 73-59,200,27,52,0.519,23,40,0.575,4,12,0.333,15,20,0.75,73
72,3/15/12,Wisconsin,N,Montana,W 73-49,200,23,48,0.479,13,29,0.448,10,19,0.526,17,19,0.895,73
73,3/17/12,Ohio State,N,Gonzaga,W 73-66,200,25,53,0.472,16,29,0.552,9,24,0.375,14,18,0.778,73
74,3/18/12,Creighton,N,UNC,L 73-87,200,28,68,0.412,20,48,0.417,8,20,0.4,9,12,0.75,73
75,3/23/12,UNC,N,Ohio,W 73-65 (OT),225,26,65,0.4,19,43,0.442,7,22,0.318,14,24,0.583,73
76,3/17/11,Wisconsin,N,Belmont,W 72-58,200,20,40,0.5,8,18,0.444,12,22,0.545,20,25,0.8,72
77,3/18/11,Kansas,N,Boston U.,W 72-53,200,29,57,0.509,20,37,0.541,9,20,0.45,5,8,0.625,72
78,3/25/11,VCU,N,Florida State,W 72-71 (OT),225,24,53,0.453,12,27,0.444,12,26,0.462,12,20,0.6,72
79,3/13/12,Iona,N,BYU,L 72-78,200,31,70,0.443,25,45,0.556,6,25,0.24,4,8,0.5,72
80,3/15/12,Syracuse,N,UNC Asheville,W 72-65,200,25,56,0.446,20,33,0.606,5,23,0.217,17,24,0.708,72
81,3/16/12,Purdue,N,Saint Mary's,W 72-69,200,26,57,0.456,21,41,0.512,5,16,0.313,15,18,0.833,72
82,3/24/12,Louisville,N,Florida,W 72-68,200,27,60,0.45,21,44,0.477,6,16,0.375,12,15,0.8,72
83,3/17/11,St. John's (NY),N,Gonzaga,L 71-86,200,27,58,0.466,20,43,0.465,7,15,0.467,10,15,0.667,71
84,3/19/11,Butler,N,Pitt,W 71-70,200,24,52,0.462,12,25,0.48,12,27,0.444,11,14,0.786,71
85,3/19/11,Kentucky,N,West Virginia,W 71-63,200,24,50,0.48,18,32,0.563,6,18,0.333,17,24,0.708,71
86,3/19/11,San Diego State,N,Temple,W 71-64 (2OT),250,28,65,0.431,22,54,0.407,6,11,0.545,9,9,1,71
87,3/20/11,Michigan,N,Duke,L 71-73,200,27,53,0.509,20,32,0.625,7,21,0.333,10,11,0.909,71
88,3/20/11,Florida State,N,Notre Dame,W 71-57,200,22,48,0.458,13,29,0.448,9,19,0.474,18,25,0.72,71
89,3/25/11,Florida State,N,VCU,L 71-72 (OT),225,26,71,0.366,19,52,0.365,7,19,0.368,12,18,0.667,71
90,3/26/11,Florida,N,Butler,L 71-74 (OT),225,25,57,0.439,22,43,0.512,3,14,0.214,18,22,0.818,71
91,3/27/11,VCU,N,Kansas,W 71-61,200,21,53,0.396,9,28,0.321,12,25,0.48,17,22,0.773,71
92,3/14/12,Vermont,N,Lamar,W 71-59,200,25,50,0.5,21,39,0.538,4,11,0.364,17,24,0.708,71
93,3/16/12,Florida,N,Virginia,W 71-45,200,28,53,0.528,24,30,0.8,4,23,0.174,11,17,0.647,71
94,3/17/12,Iowa State,N,Kentucky,L 71-87,200,25,61,0.41,22,39,0.564,3,22,0.136,18,25,0.72,71
95,3/15/11,Clemson,N,UAB,W 70-52,200,26,50,0.52,22,37,0.595,4,13,0.308,14,16,0.875,70
96,3/16/11,UTSA,N,Alabama State,W 70-61,200,23,54,0.426,19,38,0.5,4,16,0.25,20,30,0.667,70
97,3/19/11,Pitt,N,Butler,L 70-71,200,26,46,0.565,20,35,0.571,6,11,0.545,12,18,0.667,70
98,3/19/11,Wisconsin,N,Kansas State,W 70-65,200,21,50,0.42,12,30,0.4,9,20,0.45,19,23,0.826,70
99,3/20/11,Arizona,N,Texas,W 70-69,200,24,54,0.444,16,40,0.4,8,14,0.571,14,22,0.636,70
100,4/2/11,Butler,N,VCU,W 70-62,200,21,59,0.356,13,36,0.361,8,23,0.348,20,26,0.769,70
,,,,,,,,,,,,,,,,,,,