team1,team2
Gonzaga,Colgate
Illinois,Oklahoma
Oregon,Vermont
San Diego State,New Mexico State
Rutgers,Alabama
Texas Tech,UC-Irvine
Indiana,Colorado
Kentucky,Monmouth
Virginia,Liberty
Oklahoma State,Connecticut
Michigan,Loyola (IL)
Houston,South Dakota State
North Carolina,Seton Hall
Michigan State,Buffalo
Louisville,Southern California
Kansas,Montana
Villanova,Robert Morris
Purdue,Richmond
Tennessee,Furman
West Virginia,Yale
Florida,Arizona
Iowa,Georgia State
UCLA,Providence
Duke,Delaware
Baylor,Stephen F. Austin
Stanford,Arkansas
Ohio State,Western Kentucky
Florida State,Belmont
Texas,North Carolina State
Creighton,Wright State
Louisiana State,Miami (FL)
Wisconsin,Winthrop